Year;Day;Month;Site;Season;Habitat;DegLev;Bird;Sex;Plant Family;Plant species;Activity;Folder;Picture;Time
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AA;20412;11:40:20
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AB;172;13:03:00
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AB;3722;14:02:10
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AB;5266;14:27:54
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160310AB;6641;14:50:49
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160310AB;8042;15:14:10
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AB;10389;15:53:17
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AB;13929;16:52:17
2016;10;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160310AB;17964;17:59:32
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160311AA;2040;6:34:08
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160311AA;2463;6:41:11
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160311AA;2634, 2635;6:44:02
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160311AA;3301;6:55:09
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160311AA;7027, 7039;7:57:15
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Ericaceae;Disterigma alalternoides;Feeding;160311AA;10747;8:59:15
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160311AA;14288;9:58:16
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160311AA;15306;10:15:14
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;male;Ericaceae;Disterigma alalternoides;Feeding;160311AA;20174;11:36:36
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160311AB;3070;13:51:18
2016;11;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Ericaceae;Disterigma alalternoides;Feeding;160311AB;3178;13:53:06
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160307AA;15351, 15353, 15355;10:16:06
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Berberidaceae;Berberis pichinchensis;Feeding;160307AB;7968;15:12:56
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Berberidaceae;Berberis pichinchensis;Feeding;160307AB;11358, 11359;16:09:26
2016;7;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160307AB;17107;17:45:15
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Berberidaceae;Berberis pichinchensis;Feeding;160308AA;8306-8327;8:18:41
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Berberidaceae;Berberis pichinchensis;Feeding;160308AA;20982;11:49:57
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Berberidaceae;Berberis pichinchensis;Feeding;160308AB;765;13:12:53
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160308AB;9095;15:31:43
2016;8;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160308AB;16514;17:35:22
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160309AA;4308;7:12:03
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;na;Berberidaceae;Berberis pichinchensis;Feeding;160309AA;na;9:48:16
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160309AB;3938;14:05:46
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160309AB;9130;15:32:18
2016;9;3;Esperanza;Wet;Forest_Border;1;Metallura tyrianthina;female;Berberidaceae;Berberis pichinchensis;Feeding;160309AB;14569;17:02:57
